source,target
2807993,1060020
1060020,1751725
1060020,2807993
1060020,664886
664886,1060020
1060020,944757
1060020,959179
1060020,664886
1662938,1060020
1060020,1019256
1167113,1060020
1060020,3578478
1060020,3021265
1060020,2807993
1060020,944757
1060020,1133201
1133201,1060020
1463993,1060020
434723,1060020
1060020,529604
1024172,1060020
434723,1060020
944757,1060020
1060020,3063232
2807993,1060020
2807993,1060020
1173630,1060020
1910115,1060020
1060020,1133201
1024172,1060020
1060020,944757
1216373,1060020
1024172,1060020
1060020,973576
434723,1060020
1060020,1044480
1060020,973576
434723,1060020
1024172,1060020
1060020,1024172
1060020,467584
1049797,1060020
1060020,871334
728351,1060020
1074830,3811116
4966260,1074830
1074830,3811116
3811116,1074830
1074830,3811116
1888426,1074830
3811116,1074830
1074830,1093591
1920556,1074830
3811116,1074830
1074830,1627185
3811116,1074830
3811116,1074830
1288442,1074830
1186096,1074830
3811116,1074830
1074830,3811116
3811116,1074830
881753,1074830
1074830,3811116
1074830,3811116
3811116,1074830
1074830,3811116
3811116,1074830
1074830,1627185
1535029,1074830
1074830,3811116
1535029,1074830
1535029,1074830
3811116,1074830
1074830,3811116
3811116,1074830
3811116,1074830
3811116,1074830
1074830,1627185
1535029,1074830
3811116,1074830
3811116,1074830
1074830,3811116
1074830,349307
1074830,3811116
3811116,1074830
1074830,3811116
1074830,3811116
1625291,1074830
1074830,1093591
1627185,1074830
1625291,1074830
1074830,783235
1535029,1074830
1535029,1074830
1093591,1074830
1074830,500754
1074830,3999696
1074830,500754
1074830,1625291
1074830,2721343
1074830,127300
760893,1074830
1074830,596939
1074830,1807837
1074830,349307
486745,1074830
1074830,1093591
1074830,1625291
1074830,1535029
1074830,1807837
1074830,127300
1355951,1074830
1093591,1074830
1535029,1074830
1074830,1535029
1074830,1535029
1074830,1625291
1074830,1818657
1074830,1535029
949076,1074830
1818657,1074830
1074830,1535029
1074830,127300
1074830,1535029
1625291,1074830
1535029,1074830
1074830,319502
1093591,1074830
1074830,241492
1074830,127300
1074830,1818657
1074830,2721343
1074830,127300
1535029,1074830
127300,1074830
1074830,127300
1093591,1074830
1074830,1259030
1074830,1807837
1074830,1535029
1074830,1625291
1074830,127300
1074830,1093591
1074830,949076
1074830,1093591
1074830,1259030
1259030,1074830
1259030,1074830
1093591,1074830
1625291,1074830
1074830,777030
1074830,1093591
1074830,949076
1074830,1625291
1074830,1093591
